Subject,Relation,Object
London,related_to,Iraq
London,related_to,British
Iraq,related_to,British
Britain,related_to,Labor Party
Britain,related_to,English
Britain,related_to,Brighton
Labor Party,related_to,English
Labor Party,related_to,Brighton
English,related_to,Brighton
Britain,related_to,Iraq
Britain,related_to,British
Iraq,related_to,British
London,related_to,Rome
London,related_to,Paris
London,related_to,Madrid
Rome,related_to,Paris
Rome,related_to,Madrid
Paris,related_to,Madrid
International Atomic Energy Agency,related_to,Vienna
International Atomic Energy Agency,related_to,Wednesday
International Atomic Energy Agency,related_to,Iran
Vienna,related_to,Wednesday
Vienna,related_to,Iran
Wednesday,related_to,Iran
Iran,related_to,Isfahan
Iranian,related_to,Wednesday
Iranian,related_to,IAEA
Wednesday,related_to,IAEA
European Union,related_to,U.S.
European Union,related_to,Iran
European Union,related_to,U.N. Security Council
European Union,related_to,Tehran
European Union,related_to,Nuclear Non-Proliferation
U.S.,related_to,Iran
U.S.,related_to,U.N. Security Council
U.S.,related_to,Tehran
U.S.,related_to,Nuclear Non-Proliferation
Iran,related_to,U.N. Security Council
Iran,related_to,Tehran
Iran,related_to,Nuclear Non-Proliferation
U.N. Security Council,related_to,Tehran
U.N. Security Council,related_to,Nuclear Non-Proliferation
Tehran,related_to,Nuclear Non-Proliferation
Iran,related_to,President Mahmoud Ahmadinejad
Iran,related_to,Tuesday
Iran,related_to,European
Iran,related_to,Iran
Iran,related_to,Iranian
President Mahmoud Ahmadinejad,related_to,Tuesday
President Mahmoud Ahmadinejad,related_to,European
President Mahmoud Ahmadinejad,related_to,Iran
President Mahmoud Ahmadinejad,related_to,Iranian
Tuesday,related_to,European
Tuesday,related_to,Iran
Tuesday,related_to,Iranian
European,related_to,Iran
European,related_to,Iranian
Iran,related_to,Iranian
Germans,related_to,Nigerian
Germans,related_to,Nigeria
Germans,related_to,Delta
Nigerian,related_to,Nigeria
Nigerian,related_to,Delta
Nigeria,related_to,Delta
German,related_to,Bilfinger Berger
German,related_to,Thomas Horbach
German,related_to,Wednesday
German,related_to,Delta State
German,related_to,Bayelsa State
German,related_to,Royal-Dutch Shell
Bilfinger Berger,related_to,Thomas Horbach
Bilfinger Berger,related_to,Wednesday
Bilfinger Berger,related_to,Delta State
Bilfinger Berger,related_to,Bayelsa State
Bilfinger Berger,related_to,Royal-Dutch Shell
Thomas Horbach,related_to,Wednesday
