Subject,Relation,Object,Subject_Type,Object_Type
U.S. Navy,related_to,Somalia,org,geo
U.S.,related_to,Syria,geo,geo
Sarajevo,related_to,Dayton,geo,tim
South African,related_to,two,geo,tim
Foreign Ministry,related_to,Sunday,org,tim
United States,related_to,France,geo,geo
Chinese,related_to,Wolong,gpe,org
Gazprom,related_to,2010,org,tim
Dalai Lama,related_to,time,per,tim
Minister Nicolas Maduro,related_to,Tuesday,per,tim
U.S.,related_to,Iran,geo,geo
United States,related_to,Iraq,gpe,geo
Syrian,related_to,Austrian,gpe,gpe
Ms. Miers,related_to,Mr.,per,per
French,related_to,Michel Barnier,gpe,per
Prime,related_to,Ehud Olmert,per,per
Israelis,related_to,Israeli,gpe,gpe
of,related_to,Dalai Lama,tim,geo
Friday,related_to,Zamoanga del Sur,tim,geo
Burma,related_to,Laos,geo,geo
Musharraf,related_to,Monday,geo,tim
U.S. Undersecretary of State Nicholas Burns,related_to,New Delhi,org,geo
Sunday,related_to,two,tim,tim
Sudanese,related_to,Sudan Media Center,gpe,org
Hamas,related_to,Mhawesh al-Qadi,org,geo
two,related_to,before,tim,tim
Yasser Arafat,related_to,French,per,gpe
Iraq,related_to,Turkey,geo,geo
Slovenes,related_to,1929,gpe,tim
12th century,related_to,13th - 15th,tim,tim
Iran,related_to,U.N.,geo,geo
Sunday,related_to,Egyptian,tim,gpe
Cuban,related_to,Chinese,gpe,gpe
Prime,related_to,Jose Luis Rodriguez Zapatero,per,per
Libya,related_to,Bulgarian,geo,gpe
Germany,related_to,Czech,geo,gpe
Kurds,related_to,and Baluchis,org,org
European Union 's,related_to,Ukrainian,org,gpe
New Delhi,related_to,Pakistan,org,geo
Hague,related_to,Haradinaj,org,org
Cho,related_to,WTA,geo,org
NASA,related_to,Earth,org,geo
Donald Rumsfeld,related_to,American,per,gpe
Russian,related_to,Rice,gpe,per
Burma,related_to,Aung San Suu Kyi,geo,per
King Abdullah,related_to,Red Sea,per,geo
Germany,related_to,Italy,geo,geo
Charsadda,related_to,northwestern Pakistan,geo,geo
Senegalese,related_to,China,gpe,geo
Pakistani,related_to,Red Fort,gpe,geo
Reuters,related_to,Hamas,org,org
Sunday,related_to,Aceh,tim,org
U.S.,related_to,Iraq,geo,geo
Hamas,related_to,Gaza,org,geo
Iran,related_to,Russia,geo,geo
Tuesday,related_to,Nigerian,tim,gpe
Palestinian,related_to,Wednesday,gpe,tim
Indonesia,related_to,Malaysia,geo,geo
Iraqi,related_to,Iraq,gpe,geo
Cuban,related_to,1959,gpe,tim
Kim Jong,related_to,Chinese,per,gpe
Britain,related_to,Darfur,geo,org
Nikola Sainovic,related_to,General,per,org
2010,related_to,President John Atta MILLS,tim,per
L'Aquila,related_to,French,geo,gpe
Venezuelan,related_to,Hugo Chavez,gpe,per
U.S.,related_to,Iraq,geo,geo
Russian,related_to,Saturday,gpe,tim
U.N.,related_to,Rwandan,geo,gpe
Chinese,related_to,week-long May Day,gpe,tim
World Series,related_to,one-year,eve,tim
Mr. Bush,related_to,Europe,per,geo
Venezuela,related_to,Mr. Chavez,org,per
Zhari,related_to,Kandahar,per,geo
